Year,StockKeyLabel,FisheriesGuild,F,SSB,fishingPressureDescription,stockSizeDescription,landings,catches,discards,AssessmentYear,Flim,Fpa,Bpa,Blim,FMSY,MSYBtrigger
2013,her.27.3031,pelagic,1.394,1.316,Fishing pressure: Relative,NA,114396,114396,NA,2019,NA,NA,NA,NA,NA,NA
2014,her.27.3031,pelagic,1.4,1.308,Fishing pressure: Relative,NA,115366,115366,NA,2019,NA,NA,NA,NA,NA,NA
2015,her.27.3031,pelagic,1.532,1.217,Fishing pressure: Relative,NA,114942,114942,NA,2019,NA,NA,NA,NA,NA,NA
2016,her.27.3031,pelagic,1.848,1.101,Fishing pressure: Relative,NA,130029,130029,NA,2019,NA,NA,NA,NA,NA,NA
2017,her.27.3031,pelagic,1.664,1.047,Fishing pressure: Relative,NA,104358,104358,NA,2019,NA,NA,NA,NA,NA,NA
2018,her.27.3031,pelagic,1.744,0.968,Fishing pressure: Relative,NA,97366,97366,NA,2019,NA,NA,NA,NA,NA,NA
1999,ple.27.21-23,benthic,1.024,4279,F,SSB,3406,NA,2313,2019,1.01,0.69,5550,4077,0.37,5550
2000,ple.27.21-23,benthic,1.014,4961,F,SSB,3935,NA,2313,2019,1.01,0.69,5550,4077,0.37,5550
2001,ple.27.21-23,benthic,0.947,5811,F,SSB,4054,NA,2313,2019,1.01,0.69,5550,4077,0.37,5550
2002,ple.27.21-23,benthic,0.89,5920,F,SSB,3939,NA,4357,2019,1.01,0.69,5550,4077,0.37,5550
2003,ple.27.21-23,benthic,0.802,5426,F,SSB,3618,NA,2004,2019,1.01,0.69,5550,4077,0.37,5550
2004,ple.27.21-23,benthic,0.766,4941,F,SSB,2766,NA,1369,2019,1.01,0.69,5550,4077,0.37,5550
2005,ple.27.21-23,benthic,0.775,4691,F,SSB,2354,NA,1197,2019,1.01,0.69,5550,4077,0.37,5550
2006,ple.27.21-23,benthic,0.808,4537,F,SSB,2580,NA,1770,2019,1.01,0.69,5550,4077,0.37,5550
2007,ple.27.21-23,benthic,0.808,4168,F,SSB,2691,NA,1191,2019,1.01,0.69,5550,4077,0.37,5550
2008,ple.27.21-23,benthic,0.814,3851,F,SSB,2028,NA,1902,2019,1.01,0.69,5550,4077,0.37,5550
2009,ple.27.21-23,benthic,0.763,3635,F,SSB,1635,NA,1448,2019,1.01,0.69,5550,4077,0.37,5550
2010,ple.27.21-23,benthic,0.698,3785,F,SSB,1570,NA,1489,2019,1.01,0.69,5550,4077,0.37,5550
2011,ple.27.21-23,benthic,0.674,4403,F,SSB,1584,NA,2045,2019,1.01,0.69,5550,4077,0.37,5550
2012,ple.27.21-23,benthic,0.536,5244,F,SSB,1845,NA,1351,2019,1.01,0.69,5550,4077,0.37,5550
2013,ple.27.21-23,benthic,0.474,6343,F,SSB,1956,NA,1638,2019,1.01,0.69,5550,4077,0.37,5550
2014,ple.27.21-23,benthic,0.435,7224,F,SSB,1931,NA,1946,2019,1.01,0.69,5550,4077,0.37,5550
2015,ple.27.21-23,benthic,0.423,7772,F,SSB,2687,NA,1021,2019,1.01,0.69,5550,4077,0.37,5550
2016,ple.27.21-23,benthic,0.436,8249,F,SSB,3020,NA,1501,2019,1.01,0.69,5550,4077,0.37,5550
2017,ple.27.21-23,benthic,0.418,8741,F,SSB,3257,NA,768,2019,1.01,0.69,5550,4077,0.37,5550
2018,ple.27.21-23,benthic,0.406,10004,F,SSB,3459,NA,1387,2019,1.01,0.69,5550,4077,0.37,5550
2019,ple.27.21-23,benthic,NA,11907,F,SSB,NA,NA,NA,2019,1.01,0.69,5550,4077,0.37,5550
2002,ple.27.24-32,benthic,1.566,0.215,Fishing pressure: Relative,NA,915,1269,353,2019,NA,NA,NA,NA,NA,NA
2003,ple.27.24-32,benthic,2.047,0.236,Fishing pressure: Relative,NA,1281,1552,271,2019,NA,NA,NA,NA,NA,NA
2004,ple.27.24-32,benthic,1.197,0.254,Fishing pressure: Relative,NA,1081,1295,214,2019,NA,NA,NA,NA,NA,NA
2005,ple.27.24-32,benthic,0.699,0.34,Fishing pressure: Relative,NA,1081,1247,166,2019,NA,NA,NA,NA,NA,NA
2006,ple.27.24-32,benthic,0.856,0.436,Fishing pressure: Relative,NA,1012,1830,818,2019,NA,NA,NA,NA,NA,NA
2007,ple.27.24-32,benthic,1.072,0.466,Fishing pressure: Relative,NA,1167,1658,491,2019,NA,NA,NA,NA,NA,NA
2008,ple.27.24-32,benthic,0.985,0.432,Fishing pressure: Relative,NA,1102,1397,294,2019,NA,NA,NA,NA,NA,NA
2009,ple.27.24-32,benthic,0.974,0.442,Fishing pressure: Relative,NA,1226,1644,418,2019,NA,NA,NA,NA,NA,NA
2010,ple.27.24-32,benthic,1.144,0.536,Fishing pressure: Relative,NA,903,1901,998,2019,NA,NA,NA,NA,NA,NA
2011,ple.27.24-32,benthic,1.299,0.684,Fishing pressure: Relative,NA,748,2125,1377,2019,NA,NA,NA,NA,NA,NA
2012,ple.27.24-32,benthic,1.243,0.773,Fishing pressure: Relative,NA,848,1766,917,2019,NA,NA,NA,NA,NA,NA
2013,ple.27.24-32,benthic,1.388,0.791,Fishing pressure: Relative,NA,738,1520,781,2019,NA,NA,NA,NA,NA,NA
2014,ple.27.24-32,benthic,0.678,0.811,Fishing pressure: Relative,NA,534,1015,481,2019,NA,NA,NA,NA,NA,NA
2015,ple.27.24-32,benthic,0.494,1.124,Fishing pressure: Relative,NA,427,647,220,2019,NA,NA,NA,NA,NA,NA
2016,ple.27.24-32,benthic,0.465,1.611,Fishing pressure: Relative,NA,521,1579,1058,2019,NA,NA,NA,NA,NA,NA
2017,ple.27.24-32,benthic,0.352,2.232,Fishing pressure: Relative,NA,650,1058,408,2019,NA,NA,NA,NA,NA,NA
2018,ple.27.24-32,benthic,0.541,3.038,Fishing pressure: Relative,NA,1644,2355,711,2019,NA,NA,NA,NA,NA,NA
2019,ple.27.24-32,benthic,NA,3.579,Fishing pressure: Relative,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA
1984,sol.27.20-24,benthic,0.404,859,F,SSB,337,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1985,sol.27.20-24,benthic,0.312,1123,F,SSB,397,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1986,sol.27.20-24,benthic,0.369,2018,F,SSB,643,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1987,sol.27.20-24,benthic,0.456,2104,F,SSB,722,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1988,sol.27.20-24,benthic,0.407,2173,F,SSB,706,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1989,sol.27.20-24,benthic,0.419,2196,F,SSB,824,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1990,sol.27.20-24,benthic,0.387,2712,F,SSB,1050,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1991,sol.27.20-24,benthic,0.463,3183,F,SSB,1011,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1992,sol.27.20-24,benthic,0.53,4175,F,SSB,1294,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1993,sol.27.20-24,benthic,0.533,3970,F,SSB,1439,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1994,sol.27.20-24,benthic,0.417,4155,F,SSB,1198,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1995,sol.27.20-24,benthic,0.451,3442,F,SSB,1297,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1996,sol.27.20-24,benthic,0.404,3254,F,SSB,1059,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1997,sol.27.20-24,benthic,0.399,2635,F,SSB,814,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1998,sol.27.20-24,benthic,0.378,1896,F,SSB,605,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1999,sol.27.20-24,benthic,0.346,2236,F,SSB,637,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2000,sol.27.20-24,benthic,0.339,2284,F,SSB,645,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2001,sol.27.20-24,benthic,0.286,2247,F,SSB,478,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2002,sol.27.20-24,benthic,0.375,2582,F,SSB,862,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2003,sol.27.20-24,benthic,0.348,2938,F,SSB,618,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2004,sol.27.20-24,benthic,0.398,3205,F,SSB,824,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2005,sol.27.20-24,benthic,0.405,3487,F,SSB,990,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2006,sol.27.20-24,benthic,0.365,2949,F,SSB,836,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2007,sol.27.20-24,benthic,0.319,2499,F,SSB,633,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2008,sol.27.20-24,benthic,0.342,2067,F,SSB,655,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2009,sol.27.20-24,benthic,0.249,2394,F,SSB,641,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2010,sol.27.20-24,benthic,0.235,2078,F,SSB,538,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2011,sol.27.20-24,benthic,0.188,2082,F,SSB,552,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2012,sol.27.20-24,benthic,0.181,2284,F,SSB,358,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2013,sol.27.20-24,benthic,0.174,1776,F,SSB,332,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2014,sol.27.20-24,benthic,0.163,2266,F,SSB,335,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2015,sol.27.20-24,benthic,0.139,2037,F,SSB,224,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2016,sol.27.20-24,benthic,0.178,2250,F,SSB,348,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2017,sol.27.20-24,benthic,0.261,2446,F,SSB,520,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2018,sol.27.20-24,benthic,0.232,2850,F,SSB,434,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
2019,sol.27.20-24,benthic,NA,2802,F,SSB,NA,NA,NA,2019,0.315,0.23,2600,1850,0.23,2600
1974,spr.27.22-32,pelagic,0.329,1097000,F,SSB,242000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1975,spr.27.22-32,pelagic,0.346,867000,F,SSB,201000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1976,spr.27.22-32,pelagic,0.322,738000,F,SSB,195000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1977,spr.27.22-32,pelagic,0.278,1257000,F,SSB,181000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1978,spr.27.22-32,pelagic,0.273,866000,F,SSB,132000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1979,spr.27.22-32,pelagic,0.196,498000,F,SSB,77000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1980,spr.27.22-32,pelagic,0.211,311000,F,SSB,58000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1981,spr.27.22-32,pelagic,0.128,268000,F,SSB,49000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1982,spr.27.22-32,pelagic,0.226,340000,F,SSB,49000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1983,spr.27.22-32,pelagic,0.109,478000,F,SSB,37000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1984,spr.27.22-32,pelagic,0.157,691000,F,SSB,53000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1985,spr.27.22-32,pelagic,0.155,639000,F,SSB,70000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1986,spr.27.22-32,pelagic,0.203,581000,F,SSB,76000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1987,spr.27.22-32,pelagic,0.261,466000,F,SSB,88000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1988,spr.27.22-32,pelagic,0.23,415000,F,SSB,80000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1989,spr.27.22-32,pelagic,0.206,438000,F,SSB,86000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1990,spr.27.22-32,pelagic,0.133,570000,F,SSB,86000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1991,spr.27.22-32,pelagic,0.171,776000,F,SSB,103000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1992,spr.27.22-32,pelagic,0.2,1034000,F,SSB,142000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1993,spr.27.22-32,pelagic,0.162,1361000,F,SSB,178000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1994,spr.27.22-32,pelagic,0.257,1407000,F,SSB,289000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1995,spr.27.22-32,pelagic,0.334,1498000,F,SSB,313000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1996,spr.27.22-32,pelagic,0.282,1916000,F,SSB,441000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1997,spr.27.22-32,pelagic,0.394,1891000,F,SSB,529000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1998,spr.27.22-32,pelagic,0.382,1419000,F,SSB,471000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1999,spr.27.22-32,pelagic,0.367,1417000,F,SSB,421000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2000,spr.27.22-32,pelagic,0.313,1345000,F,SSB,389000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2001,spr.27.22-32,pelagic,0.287,1203000,F,SSB,342000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2002,spr.27.22-32,pelagic,0.389,942000,F,SSB,343000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2003,spr.27.22-32,pelagic,0.408,806000,F,SSB,308000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2004,spr.27.22-32,pelagic,0.5,1029000,F,SSB,374000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2005,spr.27.22-32,pelagic,0.46,1294000,F,SSB,405000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2006,spr.27.22-32,pelagic,0.38,1070000,F,SSB,352000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2007,spr.27.22-32,pelagic,0.354,941000,F,SSB,388000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2008,spr.27.22-32,pelagic,0.376,1004000,F,SSB,381000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2009,spr.27.22-32,pelagic,0.457,927000,F,SSB,407000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2010,spr.27.22-32,pelagic,0.378,1053000,F,SSB,342000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2011,spr.27.22-32,pelagic,0.354,806000,F,SSB,268000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2012,spr.27.22-32,pelagic,0.333,712000,F,SSB,231000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2013,spr.27.22-32,pelagic,0.411,736000,F,SSB,272000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2014,spr.27.22-32,pelagic,0.403,695000,F,SSB,244000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2015,spr.27.22-32,pelagic,0.384,823000,F,SSB,247000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2016,spr.27.22-32,pelagic,0.257,1282000,F,SSB,247000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2017,spr.27.22-32,pelagic,0.277,1303000,F,SSB,286000,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
2018,spr.27.22-32,pelagic,NA,1366000,F,SSB,NA,NA,NA,2018,0.39,0.32,570000,410000,0.26,570000
1970,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,71,NA,NA,2018,NA,NA,NA,NA,NA,NA
1971,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,129,NA,NA,2018,NA,NA,NA,NA,NA,NA
1972,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,142,NA,NA,2018,NA,NA,NA,NA,NA,NA
1973,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,153,NA,NA,2018,NA,NA,NA,NA,NA,NA
1974,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,155,NA,NA,2018,NA,NA,NA,NA,NA,NA
1975,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,167,NA,NA,2018,NA,NA,NA,NA,NA,NA
1976,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,149,NA,NA,2018,NA,NA,NA,NA,NA,NA
1977,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,208,NA,NA,2018,NA,NA,NA,NA,NA,NA
1978,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,128,NA,NA,2018,NA,NA,NA,NA,NA,NA
1979,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,184,NA,NA,2018,NA,NA,NA,NA,NA,NA
1980,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,152,NA,NA,2018,NA,NA,NA,NA,NA,NA
1981,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,181,NA,NA,2018,NA,NA,NA,NA,NA,NA
1982,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,150,NA,NA,2018,NA,NA,NA,NA,NA,NA
1983,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,233,NA,NA,2018,NA,NA,NA,NA,NA,NA
1984,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,137,NA,NA,2018,NA,NA,NA,NA,NA,NA
1985,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,230,NA,NA,2018,NA,NA,NA,NA,NA,NA
1986,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,338,NA,NA,2018,NA,NA,NA,NA,NA,NA
1987,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,505,NA,NA,2018,NA,NA,NA,NA,NA,NA
1988,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,367,NA,NA,2018,NA,NA,NA,NA,NA,NA
1989,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,352,NA,NA,2018,NA,NA,NA,NA,NA,NA
1990,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,454,NA,NA,2018,NA,NA,NA,NA,NA,NA
1991,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,571,NA,NA,2018,NA,NA,NA,NA,NA,NA
1992,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,763,NA,NA,2018,NA,NA,NA,NA,NA,NA
1993,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,1167,NA,NA,2018,NA,NA,NA,NA,NA,NA
1994,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,1024,NA,NA,2018,NA,NA,NA,NA,NA,NA
1995,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,807,NA,NA,2018,NA,NA,NA,NA,NA,NA
1996,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,1206,NA,NA,2018,NA,NA,NA,NA,NA,NA
1997,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,1043,NA,NA,2018,NA,NA,NA,NA,NA,NA
1998,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,798,NA,NA,2018,NA,NA,NA,NA,NA,NA
1999,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,556,NA,NA,2018,NA,NA,NA,NA,NA,NA
2000,tur.27.22-32,benthic,NA,NA,NA,Abundance Index,525,NA,NA,2018,NA,NA,NA,NA,NA,NA
2001,tur.27.22-32,benthic,NA,2.3,NA,Abundance Index,464,NA,NA,2018,NA,NA,NA,NA,NA,NA
2002,tur.27.22-32,benthic,NA,3.42,NA,Abundance Index,591,NA,NA,2018,NA,NA,NA,NA,NA,NA
2003,tur.27.22-32,benthic,NA,1.33,NA,Abundance Index,579,NA,NA,2018,NA,NA,NA,NA,NA,NA
2004,tur.27.22-32,benthic,NA,5.915,NA,Abundance Index,516,NA,NA,2018,NA,NA,NA,NA,NA,NA
2005,tur.27.22-32,benthic,NA,1.585,NA,Abundance Index,420,NA,NA,2018,NA,NA,NA,NA,NA,NA
2006,tur.27.22-32,benthic,NA,0.665,NA,Abundance Index,305,NA,NA,2018,NA,NA,NA,NA,NA,NA
2007,tur.27.22-32,benthic,NA,3.015,NA,Abundance Index,309,NA,NA,2018,NA,NA,NA,NA,NA,NA
2008,tur.27.22-32,benthic,NA,2.35,NA,Abundance Index,356,NA,NA,2018,NA,NA,NA,NA,NA,NA
2009,tur.27.22-32,benthic,NA,2.675,NA,Abundance Index,394,NA,NA,2018,NA,NA,NA,NA,NA,NA
2010,tur.27.22-32,benthic,NA,2.75,NA,Abundance Index,295,NA,NA,2018,NA,NA,NA,NA,NA,NA
2011,tur.27.22-32,benthic,NA,3.45,NA,Abundance Index,263,282,19,2018,NA,NA,NA,NA,NA,NA
2012,tur.27.22-32,benthic,NA,2.3,NA,Abundance Index,221,360,139,2018,NA,NA,NA,NA,NA,NA
2013,tur.27.22-32,benthic,NA,2.9,NA,Abundance Index,313,338,25,2018,NA,NA,NA,NA,NA,NA
2014,tur.27.22-32,benthic,NA,2.4,NA,Abundance Index,253,337,85,2018,NA,NA,NA,NA,NA,NA
2015,tur.27.22-32,benthic,NA,3.25,NA,Abundance Index,233,267,34,2018,NA,NA,NA,NA,NA,NA
2016,tur.27.22-32,benthic,NA,3.65,NA,Abundance Index,246,346,100,2018,NA,NA,NA,NA,NA,NA
2017,tur.27.22-32,benthic,NA,3.97,NA,Abundance Index,264,322,57,2018,NA,NA,NA,NA,NA,NA
