"","StockKeyLabel","AssessmentYear","AssessmentKey","StockDatabaseID","StockKey","FLim","Fpa","Bpa","Blim","FMSY","MSYBtrigger","Fmanagement","Bmanagement","RecruitmentAge","RecruitmentLength"
"110","nep.fu.2627",2019,12727,2202,169158,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA
"111","nep.fu.2829",2019,12764,2203,169159,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"112","nep.fu.3-4",2018,9937,1714,169165,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA
"113","nep.fu.30",2017,9231,1455,169160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","nep.fu.31",2019,12923,2205,169161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","nep.fu.32",2018,9653,1712,169162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","nep.fu.33",2018,9951,1713,169163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","nep.fu.34",2018,9560,1787,169164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","nep.fu.34",2018,10254,1787,169164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","nep.fu.5",2018,9610,1715,169166,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
"120","nep.fu.6",2018,9815,1716,169167,NA,NA,NA,NA,8.12,858,NA,NA,NA,NA
"121","nep.fu.6",2018,10251,1716,169167,NA,NA,NA,NA,8.12,858,NA,NA,NA,NA
"122","nep.fu.7",2018,9579,1717,169168,NA,NA,NA,NA,7.5,2.767,NA,NA,NA,NA
"123","nep.fu.7",2018,10252,1717,169168,NA,NA,NA,NA,7.5,2.767,NA,NA,NA,NA
"124","nep.fu.8",2018,9555,1718,169169,NA,NA,NA,NA,16.3,292,NA,NA,NA,NA
"125","nep.fu.8",2018,10253,1718,169169,NA,NA,NA,NA,16.3,292,NA,NA,NA,NA
"126","nep.fu.9",2018,9557,1719,169170,NA,NA,NA,NA,11.8,262,NA,NA,NA,NA
"127","nop.27.3a4",2018,10167,1791,169174,NA,NA,65000,39450,NA,NA,NA,NA,0,NA
"128","nop.27.6a",2018,9884,1720,169175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","ory.27.nea",2016,7628,886,136613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","pil.27.8abd",2018,10063,1831,194230,1.91753080070349,1.21149435525618,0.702802309545424,0.505762098396507,1.08312409244758,0.702802309545424,NA,NA,0,NA
"131","pil.27.8c9a",2018,10062,1829,169255,0.25,0.19,446331,337448,0.12,446331,NA,NA,0,NA
"132","ple.27.21-23",2019,10436,2143,169180,0.998,0.743,4730,3635,0.31,4730,NA,NA,1,NA
"133","ple.27.24-32",2019,10416,2144,169181,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"134","ple.27.420",2018,9611,1836,169189,0.516,0.369,290203,207288,0.21,564599,NA,NA,1,NA
"135","ple.27.420",2018,10222,1836,169189,0.516,0.369,290203,207288,0.21,564599,NA,NA,1,NA
"136","ple.27.7a",2019,12868,2364,169188,0.495,0.355,5294,3958,0.196,8757,NA,NA,1,NA
"137","ple.27.7bc",2017,8846,1397,169182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","ple.27.7d",2018,9622,1655,169186,0.5,0.36,25826,18448,0.25,25826,NA,NA,1,NA
"139","ple.27.7e",2019,12943,2150,169187,1.77108060687377,1.26793270719372,0.660096325968157,0.471497375691541,0.478996800495407,0.660096325968157,NA,NA,2,NA
"140","ple.27.7fg",2019,12780,2148,169185,NA,NA,NA,NA,1,0.5,NA,NA,NA,NA
"141","ple.27.7h-k",2019,13005,2146,169183,0.58354782250592,0.414907855451457,1.7433497149597,1.25456850796147,0.349325646041388,1.7433497149597,NA,NA,4,NA
"142","ple.27.89a",2019,12641,2147,169184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","pok.27.1-2",2018,9925,1695,169238,0.58,0.35,220000,136000,NA,NA,NA,NA,3,NA
"144","pok.27.3a46",2018,9924,1694,169237,0.56,0.4,150000,107000,0.36,150000,NA,NA,3,NA
"145","pok.27.3a46",2018,10324,1694,169237,0.62,0.45,149098,107297,0.36,149098,NA,NA,3,NA
"146","pok.27.5a",2019,12988,2250,169240,NA,NA,NA,44000,NA,NA,NA,NA,3,NA
"147","pok.27.5b",2017,8881,1437,169239,0.7,0.52,41400,29571,0.3,41400,NA,NA,3,NA
"148","pol.27.3a4",2018,9563,1666,169192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","pol.27.67",2018,9886,1665,169191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","pol.27.89a",2019,12993,2158,169190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","pra.27.1-2",2017,9160,1467,169177,1.7,NA,NA,0.3,1,0.5,NA,NA,NA,NA
"152","pra.27.3a4a",2018,10172,1805,169179,1,0.68,9900,6300,0.6,9900,NA,NA,0,NA
"153","pra.27.4a",2018,10220,1723,169178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","raj.27.1012",2017,9116,1412,169197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","raj.27.3a47d",2017,9063,1409,169194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","raj.27.67a-ce-h",2018,10096,1670,169196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","raj.27.89a",2018,10097,1669,169195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","reb.27.1-2",2018,10161,1818,169262,NA,NA,315000,227000,NA,315000,NA,NA,2,NA
"159","reb.27.14b",2019,10489,2224,169265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","reb.27.5a14",2019,10492,2222,169263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","reg.27.1-2",2018,9908,1817,169268,NA,NA,61600,44000,0.0525,NA,NA,NA,3,NA
"162","reg.27.561214",2019,12940,2226,169267,0.226,0.163,220000,160000,0.097,220000,NA,NA,5,NA
"163","rjb.27.67a-ce-k",2018,10016,1673,169202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","rjc.27.3a47d",2017,9058,1541,169203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","rjc.27.6",2018,9990,1678,169208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","rjc.27.7afg",2018,9997,1674,169204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","rjc.27.7e",2018,10002,1676,169206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","rjc.27.8",2018,10098,1675,169205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","rjc.27.9a",2018,10075,1677,169207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","rje.27.7de",2018,9992,1680,169210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","rje.27.7fg",2018,10153,1679,169209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","rjf.27.67",2018,9986,1681,169211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","rjh.27.4a6",2018,10089,1766,169212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","rjh.27.4c7d",2017,9056,1542,169213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","rjh.27.7afg",2018,10003,1682,169214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","rjh.27.7e",2018,10028,1776,169215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","rjh.27.9a",2018,10015,1683,169216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","rji.27.67",2018,10031,1684,169217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","rjm.27.3a47d",2017,8922,1426,169218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","rjm.27.67bj",2018,10260,1767,169219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","rjm.27.7ae-h",2018,10076,1768,169220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","rjm.27.8",2018,10040,1686,169221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","rjm.27.9a",2018,10149,1687,169222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","rjn.27.3a4",2017,8921,1544,169223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","rjn.27.678abd",2018,10211,1782,169224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","rjn.27.8c",2018,10250,1783,169225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","rjn.27.9a",2018,10035,1688,169226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","rju.27.7bj",2018,9987,1769,169228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","rju.27.7de",2018,10041,1689,169232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","rju.27.8ab",2018,10029,1762,169229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","rju.27.8c",2018,9991,1763,169230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","rju.27.9a",2018,10072,1764,169231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","rng.27.1245a8914ab",2019,12718,2187,169236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","rng.27.3a",2018,9477,1692,169235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","rng.27.5a10b12ac14b",2019,12629,2184,169233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","rng.27.5b6712b",2018,9513,1691,169234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","sal.27.22-31",2019,12871,2339,169241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","sal.27.32",2019,12808,2340,169242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","san.27.6a",2018,9877,1704,169253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","san.sa.1r",2018,9290,1697,169246,NA,NA,145000,110000,NA,NA,NA,NA,0,NA
"201","san.sa.2r",2018,9286,1698,169247,NA,NA,84000,56000,NA,NA,NA,NA,0,NA
"202","san.sa.3r",2018,9289,1699,169248,NA,NA,129000,80000,NA,NA,NA,NA,0,NA
"203","san.sa.4",2018,9291,1700,169249,NA,NA,102000,48000,NA,NA,NA,NA,0,NA
"204","san.sa.5r",2017,8199,1446,169250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","san.sa.6",2017,8200,1447,169251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","san.sa.7r",2017,8201,1448,169252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","sbr.27.10",2019,12909,2220,169258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","sbr.27.6-8",2018,9898,1724,169256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","sbr.27.9",2018,9889,1725,169257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","sdv.27.nea",2017,8937,1497,169290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","sho.27.67",2017,9112,1537,169261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","sho.27.89a",2017,9064,1532,169260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","sol.27.20-24",2019,10426,2234,169277,0.315,0.23,2600,1850,0.23,2600,NA,NA,1,NA
"214","sol.27.4",2018,9906,1741,169278,0.62,0.44,37000,26300,0.2,37000,NA,NA,1,NA
"215","sol.27.7a",2019,12903,2233,169276,0.29,0.21,3500,2500,0.2,3500,NA,NA,2,NA
"216","sol.27.7bc",2017,8869,1481,169269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","sol.27.7d",2018,9601,1837,169274,0.359,0.256,19251,13751,0.256,19251,NA,NA,1,NA
"218","sol.27.7e",2019,12765,2232,169275,0.44,0.32,2900,2000,0.29,2900,NA,NA,2,NA
"219","sol.27.7fg",2019,12877,2231,169273,0.587,0.42,2228,1592,0.297,2228,NA,NA,1,NA
"220","sol.27.7h-k",2019,13006,2228,169270,0.936708860759494,0.675105485232067,1.10886816093554,0.798760963385772,0.679324894514768,1.10886816093554,NA,NA,3,NA
"221","sol.27.8ab",2019,12958,2230,169272,0.6,0.43,10600,7600,0.33,10600,NA,NA,2,NA
"222","sol.27.8c9a",2019,12880,2229,169271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","spr.27.22-32",2018,9427,1742,169279,0.39,0.32,570000,410000,0.26,570000,NA,NA,1,NA
"224","spr.27.3a",2018,10078,1851,169282,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"225","spr.27.4",2018,9305,1850,169283,NA,NA,142000,90000,NA,NA,NA,NA,0,NA
"226","spr.27.67a-cf-k",2017,9014,1566,169280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","spr.27.7de",2018,9304,1804,169281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","syc.27.3a47d",2017,9249,1493,169284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","syc.27.67a-ce-j",2017,9117,1496,169287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","syc.27.8abd",2017,8933,1495,169286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","syc.27.8c9a",2017,9208,1494,169285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","syt.27.67",2017,8960,1538,169288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","trs.27.22-32",2019,12866,2242,169291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","tur.27.22-32",2018,9401,1749,169293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","tur.27.3a",2017,8981,1520,169294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","tur.27.4",2017,9707,1500,169295,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"237","usk.27.1-2",2019,12740,2244,169296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","usk.27.12ac",2019,12749,2246,169298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","usk.27.3a45b6a7-912b",2019,12766,2247,169299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","usk.27.5a14",2019,12966,2245,169297,NA,NA,6240,4460,NA,6240,NA,NA,3,NA
"241","usk.27.6b",2018,9462,1754,169300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","whb.27.1-91214",2018,10099,1755,169301,0.88,0.53,2250000,1500000,0.32,2250000,NA,NA,1,NA
"243","whg.27.3a",2017,8465,1511,169306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","whg.27.47d",2018,9921,1846,169302,0.458,0.33,166708,119970,0.172,166708,NA,NA,0,NA
"245","whg.27.47d",2018,10259,1846,169302,0.458,0.33,166708,119970,0.172,166708,NA,NA,0,NA
"246","whg.27.6a",2018,9792,1786,169308,0.27,0.19,44600,31900,0.18,44600,NA,NA,1,NA
"247","whg.27.6b",2018,9880,1785,169307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","whg.27.7a",2019,12975,2362,169305,0.371,0.225,16300,10000,0.219,16300,NA,NA,0,NA
"249","whg.27.7b-ce-k",2019,12990,2251,169303,1.12,0.8,35000,25000,0.52,35000,NA,NA,0,NA
"250","whg.27.89a",2019,12898,2252,169304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
