"","StockKeyLabel","AssessmentYear","AssessmentKey","StockDatabaseID","StockKey","FLim","Fpa","Bpa","Blim","FMSY","MSYBtrigger","Fmanagement","Bmanagement","RecruitmentAge","RecruitmentLength"
"1","alf.27.nea",2018,9476,1628,169048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ane.27.8",2017,9266,1363,169051,NA,NA,NA,21000,NA,NA,NA,NA,1,NA
"3","ane.27.9a",2019,12959,2377,169052,NA,NA,0.504150619593585,0.307430585793762,NA,NA,NA,NA,NA,NA
"4","anf.27.3a46",2018,10174,1813,169054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ank.27.78abd",2019,13000,2368,195875,NA,NA,NA,NA,1,NA,NA,NA,NA,16
"6","ank.27.8c9a",2019,12974,2369,169050,1.7,NA,NA,0.3,1,0.5,NA,NA,NA,NA
"7","aru.27.123a4",2019,12619,2289,169057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","aru.27.5a14",2019,12692,2298,169059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","aru.27.5b6a",2019,12704,2290,169058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","aru.27.6b7-1012",2019,12965,2291,169060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","bli.27.5a14",2019,12918,2299,169061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","bli.27.5b67",2018,9467,1592,169062,0.17,0.12,75000,54000,0.12,75000,NA,NA,9,NA
"13","bli.27.nea",2019,12896,2301,169063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","bll.27.22-32",2017,8502,1315,169064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","bll.27.3a47de",2017,8971,1316,169065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","boc.27.6-8",2017,9106,1317,169066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","bsf.27.nea",2018,9905,1781,169067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","bss.27.4bc7ad-h",2018,9959,1839,169069,0.295,0.211,13465,9618,0.203,13465,NA,NA,0,NA
"19","bss.27.6a7bj",2017,8831,1517,169072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","bss.27.8ab",2019,13045,2391,169070,0.1715,0.1225,16688,11920,0.1225,16688,NA,NA,0,1
"21","bss.27.8c9a",2019,12656,2293,169071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","cap.27.1-2",2017,9192,1319,169073,NA,NA,NA,2e+05,NA,NA,NA,NA,1,NA
"23","cap.27.2a514",2018,10300,1599,169074,NA,NA,NA,150000,NA,NA,NA,NA,NA,NA
"24","cod.21.1",2019,12925,2360,169084,NA,NA,5983,4346,0.27,5983,NA,NA,1,NA
"25","cod.21.1a-e",2019,12939,2338,169090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","cod.2127.1f14",2019,11552,2380,169089,2.34,1.33,14803,10354,0.46,14803,NA,NA,1,NA
"27","cod.27.1-2",2018,9841,1835,169079,0.74,0.4,460000,220000,0.4,460000,NA,NA,3,NA
"28","cod.27.1-2coast",2018,9915,1604,169080,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"29","cod.27.21",2019,13064,2344,169086,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"30","cod.27.22-24",2019,10446,2308,169075,1.45,0.99,38400,27400,0.26,38400,NA,NA,1,NA
"31","cod.27.24-32",2019,12941,2309,169076,NA,NA,108035,96550,NA,NA,NA,NA,0,NA
"32","cod.27.47d20",2018,9940,1602,169077,0.54,0.39,150000,107000,0.31,150000,NA,NA,1,NA
"33","cod.27.5a",2019,11516,2314,169083,0.74,0.58,160000,125000,NA,220000,NA,NA,3,NA
"34","cod.27.5b1",2018,10309,1842,169082,0.9,0.69,29226.38,21000,0.23,29226.38,NA,NA,1,NA
"35","cod.27.5b2",2016,7863,809,136515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","cod.27.6a",2019,12995,2316,169088,0.77,0.55,20000,14000,0.29,20000,NA,NA,1,NA
"37","cod.27.6b",2017,8794,1332,169087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","cod.27.7a",2019,12938,2365,169085,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"39","cod.27.7e-k",2019,12980,2311,169078,0.807,0.5764,10300,7300,0.353,10300,NA,NA,1,NA
"40","dab.27.22-32",2017,8809,1335,169092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","dab.27.3a4",2017,8888,1336,169093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","dgs.27.nea",2018,10262,1612,169094,NA,NA,NA,NA,NA,683340,NA,NA,0,NA
"43","ele.2737.nea",2018,10209,1621,169095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","fle.27.2223",2019,10399,2253,169096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","fle.27.2425",2019,10395,2286,169097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","fle.27.2628",2017,8414,1527,169098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","fle.27.2729-32",2017,8406,1528,169099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","fle.27.3a4",2017,8691,1338,169100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","gag.27.nea",2017,9025,1339,169101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","gfb.27.nea",2018,9459,1614,169102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ghl.27.1-2",2017,8886,1341,169103,NA,NA,5e+05,NA,NA,NA,NA,NA,1,NA
"52","ghl.27.561214",2019,11511,2324,169104,1.7,NA,NA,0.3,1,0.5,NA,NA,NA,NA
"53","gug.27.3a47d",2018,9825,1617,169105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","gur.27.3-8",2017,9107,1547,169107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","had.27.1-2",2018,9910,1620,169110,0.77,0.47,80000,50000,0.35,80000,NA,NA,3,NA
"56","had.27.46a20",2018,9943,1772,169108,0.39,0.28,132000,94000,0.19,132000,NA,NA,0,NA
"57","had.27.46a20",2018,10258,1772,169108,0.39,0.28,132000,94000,0.19,132000,NA,NA,0,NA
"58","had.27.5a",2019,10483,2151,169112,NA,NA,NA,35500,NA,NA,NA,NA,2,NA
"59","had.27.5b",2017,8880,1347,169111,0.54,0.4,22843,16780,0.165,22843,NA,NA,1,NA
"60","had.27.6b",2018,9953,1841,169114,0.69,0.46,10200,6800,0.2,10200,NA,NA,1,NA
"61","had.27.7a",2019,12969,2363,169113,0.53,0.38,4160,2994,0.28,4280,NA,NA,0,NA
"62","had.27.7b-k",2019,12976,2327,169109,1.41,0.89,10000,6700,0.4,10000,NA,NA,0,NA
"63","her.27.1-24a514a",2018,10100,1658,169123,0.291,0.227,3184000,2500000,0.157,3184000,NA,NA,2,NA
"64","her.27.20-24",2018,9333,1815,169118,0.45,0.35,150000,120000,0.31,150000,NA,NA,0,NA
"65","her.27.25-2932",2019,10408,2156,169115,0.52,0.41,6e+05,430000,0.22,6e+05,NA,NA,1,NA
"66","her.27.28",2019,10404,2153,169124,0.88,0.63,57100,40800,0.32,60000,NA,NA,1,NA
"67","her.27.30",2016,7342,834,136553,NA,NA,NA,NA,0.15,316000,NA,NA,1,NA
"68","her.27.3031",2019,12738,2341,169673,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"69","her.27.31",2016,7314,835,136554,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"70","her.27.3a47d",2018,9353,1816,169119,0.34,0.3,9e+05,8e+05,0.26,1400000,NA,NA,0,NA
"71","her.27.5a",2019,12899,2154,169125,0.61,0.45,NA,NA,0.22,NA,NA,NA,3,NA
"72","her.27.6a7bc",2018,9327,1801,169120,0.3,0.18,410000,250000,0.16,410000,NA,NA,1,NA
"73","her.27.irls",2018,9312,1814,169121,0.45,0.27,34000,54000,0.26,54000,NA,NA,1,NA
"74","her.27.nirs",2018,9352,1856,169122,0.397,0.286,11831,8500,0.266,11831,NA,NA,1,NA
"75","hke.27.3a46-8abd",2019,13059,2155,169126,0.84,0.6,56000,40000,0.27,56000,NA,NA,0,NA
"76","hke.27.8c9a",2019,12760,2296,169127,1.05,0.75,11100,8000,0.25,11100,NA,NA,0,NA
"77","hom.27.2a4a5b6a7a-ce-k8",2018,10106,1833,169130,0.151,0.108,911587,661917,0.108,911587,NA,NA,0,NA
"78","hom.27.3a4bc7d",2017,9111,1372,169128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","hom.27.9a",2019,13062,2345,169129,0.19,0.11,181000,103000,0.11,181000,NA,NA,0,NA
"80","jaa.27.10a2",2018,10069,1663,169131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","ldb.27.7b-k8abd",2019,12853,2357,169785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","ldb.27.8c9a",2019,12893,2131,169140,0.57,0.41,4600,3300,0.193,4600,NA,NA,0,NA
"83","lem.27.3a47d",2017,8975,1376,169132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","lez.27.4a6a",2019,12855,2129,169138,NA,NA,0.5,0.3,1,0.5,NA,NA,NA,NA
"85","lez.27.6b",2018,10163,1636,169139,NA,NA,NA,NA,1,0.5,NA,NA,NA,NA
"86","lin.27.1-2",2019,12907,2125,169133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","lin.27.3a4a6-91214",2019,12911,2128,169136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","lin.27.5a",2019,12664,2127,169135,NA,NA,9930,7090,NA,9930,NA,NA,3,NA
"89","lin.27.5b",2019,12728,2126,169134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","mac.27.nea",2018,10444,1832,169137,0.46,0.37,2500000,1990000,0.23,2500000,NA,NA,0,NA
"91","meg.27.7b-k8abd",2019,13001,2132,169141,0.53,0.45,41800,37000,0.191,41800,NA,NA,1,NA
"92","meg.27.8c9a",2019,12956,2133,169142,0.45,0.32,980,700,0.191,980,NA,NA,1,NA
"93","mon.27.78abd",2019,12991,2371,195876,0.53,0.36,22278,16032,0.28,22278,NA,NA,0,NA
"94","mon.27.8c9a",2019,13044,2370,169056,0.56,0.4,2769,1993,0.24,6283,NA,NA,0,NA
"95","mur.27.3a47d",2017,8973,1521,169143,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"96","mur.27.67a-ce-k89a",2017,9108,1522,169144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","nep.fu.10",2018,9559,1640,169145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","nep.fu.11",2018,10270,1641,169146,NA,NA,NA,NA,10.8,540,NA,NA,NA,NA
"99","nep.fu.12",2018,10265,1642,169147,NA,NA,NA,NA,11.7,1020,NA,NA,NA,NA
"100","nep.fu.13",2018,10264,1643,169148,NA,NA,NA,NA,15.1,580,NA,NA,NA,NA
"101","nep.fu.14",2018,10214,1644,169149,NA,NA,NA,NA,11,350,NA,NA,NA,NA
"102","nep.fu.15",2018,10212,1645,169150,NA,NA,NA,NA,18.2,3000,NA,NA,NA,NA
"103","nep.fu.16",2018,10213,1646,169151,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA
"104","nep.fu.17",2018,10207,1647,169152,NA,NA,NA,NA,8.5,540,NA,NA,NA,NA
"105","nep.fu.19",2018,10156,1648,169153,NA,NA,NA,NA,9.3,430,NA,NA,NA,NA
"106","nep.fu.2021",2018,10206,1806,169154,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
"107","nep.fu.22",2018,10205,1705,169155,NA,NA,NA,NA,12.8,990,NA,NA,NA,NA
"108","nep.fu.2324",2018,10277,1706,169156,NA,NA,NA,NA,7.7,NA,NA,NA,0,NA
"109","nep.fu.25",2019,12992,2201,169157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
