Year,FisheriesGuild,variable,value
2018,benthic,guildLandings,2442.45
2018,demersal,guildLandings,890.41
2018,pelagic,guildLandings,19139.45
2018,benthic,guildDiscards,134.172
2018,demersal,guildDiscards,45.234
2018,pelagic,guildDiscards,0
