type_var,YEAR,typeTotal
atlantic cod,1950,58.798
atlantic cod,1951,59.64
atlantic cod,1952,66.282
atlantic cod,1953,54.642
atlantic cod,1954,53.407
atlantic cod,1955,134.989
atlantic cod,1956,168.127
atlantic cod,1957,195.645
atlantic cod,1958,152.186
atlantic cod,1959,142.956
atlantic cod,1960,168.276
atlantic cod,1961,151.471
atlantic cod,1962,153.279
atlantic cod,1963,154.601
atlantic cod,1964,133.203
atlantic cod,1965,133.656
atlantic cod,1966,164.689
atlantic cod,1967,175.542
atlantic cod,1968,198.644
atlantic cod,1969,196.875
atlantic cod,1970,192.465
atlantic cod,1971,159.767
atlantic cod,1972,174.869
atlantic cod,1973,189.297
atlantic cod,1974,188.898
atlantic cod,1975,234.168
atlantic cod,1976,255.284
atlantic cod,1977,213.042
atlantic cod,1978,195.925
atlantic cod,1979,272.519
atlantic cod,1980,388.186
atlantic cod,1981,380.177
atlantic cod,1982,361.303
atlantic cod,1983,375.774
atlantic cod,1984,442.404
atlantic cod,1985,344.199
atlantic cod,1986,271.205
atlantic cod,1987,237.717
atlantic cod,1988,243.17
atlantic cod,1989,202.605
atlantic cod,1990,175.706
atlantic cod,1991,140.738
atlantic cod,1992,73.341
atlantic cod,1993,40.377
atlantic cod,1994,74.604
atlantic cod,1995,117.265
atlantic cod,1996,163.991
atlantic cod,1997,134.477
atlantic cod,1998,101.684
atlantic cod,1999,116.791
atlantic cod,2000,105.056
atlantic cod,2001,102.637
atlantic cod,2002,74.132
atlantic cod,2003,74.146
atlantic cod,2004,73.376
atlantic cod,2005,63.011
atlantic cod,2006,58.58653
atlantic cod,2007,52.57721
atlantic cod,2008,50.19915
atlantic cod,2009,56.44859
atlantic cod,2010,58.99036
atlantic cod,2011,59.95179
atlantic cod,2012,62.00044
atlantic cod,2013,38.79682
atlantic cod,2014,36.98721
atlantic cod,2015,44.89258
atlantic cod,2016,35.91531
atlantic cod,2017,28.03964
atlantic cod,2018,21.3248192
atlantic herring,1950,70.454
atlantic herring,1951,70.469
atlantic herring,1952,59.065
atlantic herring,1953,98.754
atlantic herring,1954,95.669
atlantic herring,1955,193.703
atlantic herring,1956,185.885
atlantic herring,1957,170.441
atlantic herring,1958,183.899
atlantic herring,1959,177.97
atlantic herring,1960,168.095
atlantic herring,1961,183.342
atlantic herring,1962,188.48
atlantic herring,1963,228.776
atlantic herring,1964,223.646
atlantic herring,1965,226.249
atlantic herring,1966,251.458
atlantic herring,1967,310.091
atlantic herring,1968,352.474
atlantic herring,1969,295.329
atlantic herring,1970,312.119
atlantic herring,1971,336.251
atlantic herring,1972,288.536
atlantic herring,1973,404.172
atlantic herring,1974,407.081
atlantic herring,1975,414.633
atlantic herring,1976,393.507
atlantic herring,1977,412.711
atlantic herring,1978,419.602
atlantic herring,1979,458.819
atlantic herring,1980,452.873
atlantic herring,1981,418.867
atlantic herring,1982,441.765
atlantic herring,1983,458.86
atlantic herring,1984,426.478
atlantic herring,1985,431.437
atlantic herring,1986,400.524
atlantic herring,1987,372.947
atlantic herring,1988,455.9
atlantic herring,1989,459.119
atlantic herring,1990,402.791
atlantic herring,1991,307.35
atlantic herring,1992,343.083
atlantic herring,1993,352.022
atlantic herring,1994,353.411
atlantic herring,1995,346.45
atlantic herring,1996,325.631
atlantic herring,1997,370.266
atlantic herring,1998,383.488
atlantic herring,1999,343.142
atlantic herring,2000,371.017
atlantic herring,2001,339.241
atlantic herring,2002,281.545
atlantic herring,2003,231.984
atlantic herring,2004,232.922
atlantic herring,2005,221.678
atlantic herring,2006,235.36836
atlantic herring,2007,252.33615
atlantic herring,2008,251.35464
atlantic herring,2009,256.06483
atlantic herring,2010,240.04925
atlantic herring,2011,243.88943
atlantic herring,2012,252.03187
atlantic herring,2013,263.8358
atlantic herring,2014,288.42407
atlantic herring,2015,340.97553
atlantic herring,2016,378.5535
atlantic herring,2017,356.26591
atlantic herring,2018,360.676289
flounder,1950,3.503
flounder,1951,3.576
flounder,1952,3.148
flounder,1953,2.896
flounder,1954,2.748
flounder,1955,8.713
flounder,1956,6.738
flounder,1957,7.58
flounder,1958,6.741
flounder,1959,7.754
flounder,1960,7.032
flounder,1961,8.814
flounder,1962,8.396
flounder,1963,7.662
flounder,1964,5.405
flounder,1965,7.736
flounder,1966,9.667
flounder,1967,7.163
flounder,1968,11.2
flounder,1969,9.673
flounder,1970,9.485
flounder,1971,9.37
flounder,1972,7.793
flounder,1973,6.569
flounder,1974,7.906
flounder,1975,12.069
flounder,1976,13.691
flounder,1977,16.317
flounder,1978,9.892
flounder,1979,9.23
flounder,1980,8.329
flounder,1981,8.625
flounder,1982,9.104
flounder,1983,9.55
flounder,1984,7.637
flounder,1985,8.252
flounder,1986,7.901
flounder,1987,7.037
flounder,1988,7.9
flounder,1989,8.733
flounder,1990,7.138
flounder,1991,6.321
flounder,1992,4.541
flounder,1993,3.732
flounder,1994,8.377
flounder,1995,8.228
flounder,1996,8.13
flounder,1997,9.994
flounder,1998,9.235
flounder,1999,7.963
flounder,2000,10.235
flounder,2001,11.026
flounder,2002,10.153
flounder,2003,7.712
flounder,2004,17.381
flounder,2005,19.283
flounder,2006,15.81517
flounder,2007,17.10987
flounder,2008,14.52626
flounder,2009,13.96765
flounder,2010,15.16534
flounder,2011,14.30475
flounder,2012,14.44285
flounder,2013,19.74507
flounder,2014,19.48379
flounder,2015,15.87466
flounder,2016,19.81911
flounder,2017,15.50013
flounder,2018,20.61405769
sprat,1950,3.247
sprat,1951,3.401
sprat,1952,3.317
sprat,1953,3.223
sprat,1954,3.974
sprat,1955,13.345
sprat,1956,8.636
sprat,1957,20.648
sprat,1958,33.258
sprat,1959,42.431
sprat,1960,34.287
sprat,1961,49.545
sprat,1962,80.635
sprat,1963,69.035
sprat,1964,95.512
