FisheriesGuild,lineDescription,Variable,V1,header,colour,value,sum,fraction
NA,MSY,FishingPressure,0,FishingPressure
MSY,GREEN,1,3,5.66666666666667
NA,MSY,StockSize,0,StockSize
MSY,GREEN,2,3,11.3333333333333
NA,PA,FishingPressure,0,FishingPressure
PA,GREEN,3,3,17
NA,PA,StockSize,0,StockSize
PA,GREEN,2,3,11.3333333333333
benthic,MSY,FishingPressure,0,FishingPressure
MSY,GREEN,5,8,10.625
benthic,MSY,StockSize,0,StockSize
MSY,GREEN,1,8,2.125
benthic,PA,FishingPressure,0,FishingPressure
PA,GREEN,5,8,10.625
benthic,PA,StockSize,0,StockSize
PA,GREEN,1,8,2.125
demersal,PA,FishingPressure,0,FishingPressure
PA,GREEN,1,2,8.5
pelagic,MSY,FishingPressure,0,FishingPressure
MSY,GREEN,1,4,4.25
pelagic,MSY,StockSize,0,StockSize
MSY,GREEN,3,4,12.75
pelagic,PA,FishingPressure,0,FishingPressure
PA,GREEN,3,4,12.75
pelagic,PA,StockSize,0,StockSize
PA,GREEN,3,4,12.75
total,MSY,FishingPressure,0,FishingPressure
MSY,GREEN,7,17,7
total,MSY,StockSize,0,StockSize
MSY,GREEN,6,17,6
total,PA,FishingPressure,0,FishingPressure
PA,GREEN,12,17,12
total,PA,StockSize,0,StockSize
PA,GREEN,6,17,6
NA,,SBL,0,SBL
,GREEN,2,3,11.3333333333333
benthic,,SBL,0,SBL
,GREEN,1,8,2.125
pelagic,,SBL,0,SBL
,GREEN,3,4,12.75
total,,SBL,0,SBL
,GREEN,6,17,6
benthic,MSY,FishingPressure,0,FishingPressure
MSY,GREY,3,8,6.375
benthic,MSY,StockSize,0,StockSize
MSY,GREY,7,8,14.875
benthic,PA,FishingPressure,0,FishingPressure
PA,GREY,3,8,6.375
benthic,PA,StockSize,0,StockSize
PA,GREY,7,8,14.875
demersal,MSY,FishingPressure,0,FishingPressure
MSY,GREY,1,2,8.5
demersal,MSY,StockSize,0,StockSize
MSY,GREY,1,2,8.5
demersal,PA,FishingPressure,0,FishingPressure
PA,GREY,1,2,8.5
pelagic,MSY,FishingPressure,0,FishingPressure
MSY,GREY,1,4,4.25
pelagic,MSY,StockSize,0,StockSize
MSY,GREY,1,4,4.25
pelagic,PA,FishingPressure,0,FishingPressure
PA,GREY,1,4,4.25
pelagic,PA,StockSize,0,StockSize
PA,GREY,1,4,4.25
total,MSY,FishingPressure,0,FishingPressure
MSY,GREY,5,17,5
total,MSY,StockSize,0,StockSize
MSY,GREY,9,17,9
total,PA,FishingPressure,0,FishingPressure
PA,GREY,5,17,5
total,PA,StockSize,0,StockSize
PA,GREY,8,17,8
benthic,,SBL,0,SBL
,GREY,7,8,14.875
pelagic,,SBL,0,SBL
,GREY,1,4,4.25
total,,SBL,0,SBL
,GREY,8,17,8
demersal,PA,StockSize,0,StockSize
PA,ORANGE,1,2,8.5
total,PA,StockSize,0,StockSize
PA,ORANGE,1,17,1
NA,MSY,FishingPressure,0,FishingPressure
MSY,RED,2,3,11.3333333333333
NA,MSY,StockSize,0,StockSize
MSY,RED,1,3,5.66666666666667
NA,PA,StockSize,0,StockSize
PA,RED,1,3,5.66666666666667
demersal,MSY,FishingPressure,0,FishingPressure
MSY,RED,1,2,8.5
demersal,MSY,StockSize,0,StockSize
MSY,RED,1,2,8.5
demersal,PA,StockSize,0,StockSize
PA,RED,1,2,8.5
pelagic,MSY,FishingPressure,0,FishingPressure
MSY,RED,2,4,8.5
total,MSY,FishingPressure,0,FishingPressure
MSY,RED,5,17,5
total,MSY,StockSize,0,StockSize
MSY,RED,2,17,2
total,PA,StockSize,0,StockSize
PA,RED,2,17,2
NA,,SBL,0,SBL
,RED,1,3,5.66666666666667
demersal,,SBL,0,SBL
,RED,2,2,17
total,,SBL,0,SBL
,RED,3,17,3
