StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
cod.27.22-24,demersal,1.43846153846154,5312,3546,157,0.26,0.374,2019,2018,0.663238251965624,14509,21876,RED,15907
cod.27.24-32,demersal,NA,NA,15907,3103,NA,0.21,2019,2019,NA,66412,NA,GREY,15907
