"FisheriesGuild","StockKeyLabel","StockKeyDescription"
"demersal","cod.27.22-24","Cod (Gadus morhua) in subdivisions 22-24, western Baltic stock (western Baltic Sea)"
"demersal","cod.27.24-32","Cod (Gadus morhua) in subdivisions 24-32, eastern Baltic stock (eastern Baltic Sea)"
"pelagic","her.27.20-24","Herring (Clupea harengus) in subdivisions 20-24, spring spawners (Skagerrak, Kattegat, and western Baltic)"
"pelagic","her.27.25-2932","Herring (Clupea harengus) in subdivisions 25-29 and 32, excluding the Gulf of Riga (central Baltic Sea)"
"pelagic","her.27.28","Herring (Clupea harengus) in Subdivision 28.1 (Gulf of Riga)"
"pelagic","her.27.3031","Herring (Clupea harengus) in Subdivisions 30 and 31 (Gulf of Bothnia)"
"benthic","ple.27.21-23","Plaice (Pleuronectes platessa) in subdivisions 21-23 (Kattegat, Belt Seas, and the Sound)"
"benthic","ple.27.24-32","Plaice (Pleuronectes platessa) in subdivisions 24-32 (Baltic Sea, excluding the Sound and Belt Seas)"
"benthic","sol.27.20-24","Sole (Solea solea) in subdivisions 20-24 (Skagerrak and Kattegat, western Baltic Sea)"
"pelagic","spr.27.22-32","Sprat (Sprattus sprattus) in Subdivisions 22-32 (Baltic Sea)"
